process_noise,measurement_noise,decay_rate,pinn_weight,mae,rmse,detection_rate,false_alarm_rate,peak_capture,n_exceedances,n_false_alarms,objective_score
0.1,0.05,0.9,0.9,0.3551680671688787,1.3493309928103638,0.0,0.0,0.0,5,0,55.07103361343378
0.1,0.1,0.1,0.1,0.3327725065534039,1.347373004471367,0.0,0.0,0.0,5,0,55.066554501310684
0.1,0.1,0.1,0.3,0.33106791792216184,1.343645500041418,0.0,0.0,0.0,5,0,55.066213583584435
0.1,0.1,0.1,0.5,0.3390758029177759,1.3412787367483623,0.0,0.0,0.0,5,0,55.06781516058356
0.1,0.1,0.1,0.7,0.3523451755909324,1.3402799232971414,0.0,0.0,0.0,5,0,55.07046903511819
0.1,0.1,0.1,0.9,0.36966103879127227,1.340652117143697,0.0,0.0,0.0,5,0,55.073932207758254
0.1,0.1,0.3,0.1,0.3284705613451629,1.343788394625457,0.0,0.0,0.0,5,0,55.065694112269036
0.1,0.1,0.3,0.3,0.3280824277197864,1.340802640183817,0.0,0.0,0.0,5,0,55.065616485543956
0.1,0.1,0.3,0.5,0.33510714985677814,1.3387861136075996,0.0,0.0,0.0,5,0,55.067021429971355
0.1,0.1,0.3,0.7,0.34634912680106844,1.3377431979733643,0.0,0.0,0.0,5,0,55.069269825360216
0.1,0.1,0.3,0.9,0.3606008912281231,1.3376761705025184,0.0,0.0,0.0,5,0,55.072120178245626
0.1,0.1,0.5,0.1,0.3281721385176569,1.3410238329826292,0.0,0.0,0.0,5,0,55.06563442770353
0.1,0.1,0.5,0.3,0.3291798248539224,1.3389984770551495,0.0,0.0,0.0,5,0,55.06583596497079
0.1,0.1,0.5,0.5,0.3350223259868097,1.3375483291824255,0.0,0.0,0.0,5,0,55.067004465197364
0.1,0.1,0.5,0.7,0.34373271698243235,1.33667526148107,0.0,0.0,0.0,5,0,55.068746543396486
0.1,0.1,0.5,0.9,0.3545265989639334,1.33638040498444,0.0,0.0,0.0,5,0,55.070905319792786
0.1,0.1,0.7,0.1,0.3354907371671272,1.3405902860233427,0.0,0.0,0.0,5,0,55.06709814743343
0.1,0.1,0.7,0.3,0.3374407206003358,1.3395856213022586,0.0,0.0,0.0,5,0,55.06748814412007
0.1,0.1,0.7,0.5,0.34115892697393757,1.3388128187211061,0.0,0.0,0.0,5,0,55.06823178539479
